Market_ID,Market_name,population_2019,Population_growth,Income_per_capita
30001,Afognak Lake,10000,0,10000
32149,Hickory,10000,0,31380
34975,Searcy,10000,0,31657
33782,Fulton,10000,0,31840
31742,Scott,10000,0,32290
31339,Dillon,10000,0,33030
33999,Ozark,10000,0,33722
30949,Murray,10000,0,33841
31009,Carroll,10000,0,34692
36527,Okeechobee,10000,0,34998
34993,Sumter,10000,0,35310
33556,Marlboro,10000,0,35748
33775,Nevada,10000,0,35808
31733,Perry,10000,0,36217
30557,Bradford,10000,0,36301
35954,Marion,10000,0,36330
33595,Marion,10000,0,36330
33410,Marion,10000,0,36330
33947,Oscoda,10000,0,36374
34629,Russell,10000,0,36526
30641,Baker,10000,0,36552
30216,Athens,10000,0,36642
30400,Athens,10000,0,36642
33389,Athens,10000,0,36642
33058,Pickens,10000,0,36861
33773,Overton,10000,0,37105
32873,Lamar,10000,0,37161
34215,Powell,10000,0,37224
33302,Howell,10000,0,37414
35397,Cleburne,10000,0,37734
33155,Macon,10000,0,37834
33106,Laurel,10000,0,37869
32596,Laurel,10000,0,37869
34599,Covington,10000,0,37930
35963,Clarendon,10000,0,38001
35761,Phillips,10000,0,38155
36784,Monroe,10000,0,38192
33377,Monroe,10000,0,38192
36698,Monroe,10000,0,38192
30380,Talladega,10000,0,38300
36529,Northampton,10000,0,38402
30389,Ashley,10000,0,38489
31840,Gadsden,10000,0,38507
30701,Barnwell,10000,0,38682
33828,Orangeburg,10000,0,38730
31083,Concordia,10000,0,38891
33887,Socorro,10000,0,39055
36549,Osceola,10000,0,39210
30834,Boundary,10000,0,39272
33287,Mitchell,10000,0,39711
33350,Muskogee,10000,0,39894
30796,Butler,10000,0,39988
30780,Butler,10000,0,39988
33369,Marshall,10000,0,40045
33392,Marshall,10000,0,40045
33291,Marshall,10000,0,40045
30378,Marshall,10000,0,40045
33478,Grenada,10000,0,40296
30107,Barrow,10000,0,40435
36652,Jasper,10000,0,40541
30336,Jasper,10000,0,40541
35886,Woodward,10000,0,40710
31880,Gladwin,10000,0,40772
35869,Duchesne,10000,0,40780
35502,Tunica,10000,0,40994
33810,Nacogdoches,10000,0,41188
30961,Craig,10000,0,41477
31004,Craig,10000,0,41477
34579,Roosevelt,10000,0,41531
35435,Darlington,10000,0,41928
36357,Delta,10000,0,42127
31424,Delta,10000,0,42127
36539,Oxford,10000,0,42327
35481,Oxford,10000,0,42327
36494,Oxford,10000,0,42327
35939,Jerome,10000,0,42332
31467,Wheatland,10000,0,42348
32523,Juneau,10000,0,42620
