unique_carrier_code, passenger_carried ,fleet_size,number_of_destinations
ZYZ,,,
ZY,,,
ZX (1),,,
ZX,,,
ZW,,61,75
ZV,,,
ZUQ,,,
ZS,,,
ZPQ,,,
ZP,,,
ZO,,,
ZN,,,
ZMZ,,,
ZL,,,
ZKQ,,,
ZK,,,
ZIA,,,
ZG,,,
ZFZ,,,
ZF,,,
ZE (1),,,
ZE,,,
ZB,,,
ZAQ,,,
ZA,,,
Z3Q,,,
Z3 (1),,,
Z3,,,
YX (1),,,
YX,,224,71
YV,,141,200
YR,,,
YM,,,
YBQ,,,
YB,,,
Y8,,,
Y7,,,
Y4,,,
Y2,,,
XYZ,,,
XY,,,
XV,,,
XPQ,,,
XPA,,,
XP,,6,16
XL,,,
XK,,,
XJ,,,
XF,,,
XE,,,
XDH,,,
XDF,,,
XDE,,,
XDD,,,
XDC,,,
XDA,,,
XCA,,,
XC,,,
XBZ,,,
XBX,,,
XBV,,,
XBT,,,
XBR,,,
XBQ,,,
XBP,,,
XBM,,,
XBJ,,,
XBI,,,
XBH,,,
XBF,,,
XBC,,,
XAZ,,,
XAY,,,
XAU,,,
XAT,,,
XAS,,,
XAR,,,
XAQ,,,
XAO,,,
XAM,,,
XAK,,,
XAJ,,,
XAI,,,
XAH,,,
XAG,,,
XAF,,,
XAE,,,
XAC,,,
XAB,,,
XAA,,,
X9,,,
X7,,,
X4,,,
WWQ,,,
WWI,,,
WW,,,
WV (1),,,
WV,,,
WTA,,,
WT,,,
WSU,,,
WST,,2,1
WSK,,,
WS (1),,,
WS,,,
WRT,,,
WRD,,,
WRA,,,
WR,,,
WP,,,
WO (1),,,
WO,,,
WNQ,,,
WNG,,,
WN," 162,681,000	 ",737,111
WM,,,
WLQ,,,
WLH,,,
WL (1),,,
WL,,,
WIR,,,
WIL,,,
WIA,,,
WI,,,
WGT,,,
WGQ,,,
WGL,,,
WG,,,
WFT,,,
WFS,,,
WET,,,
WES,,,
WEQ,,,
WEB,,,
WE,,,
WDQ,,,
WD,,,
WCI,,,
WCA,,,
WC,,,
WAW,,,
WAR,,,
WAQ,,,
WAP,,,
WAI,,,
WAC,,,
WA (1),,,
WA,,,
W9,,,
W8,,,
W7,,,
W4,,,
W3,,,
VY,,,
VX (1),,,
VX,,,
VW,,,
VV (2),,,
VV (1),,,
VV,,,
VSA,,,
VS,,,
VR,,,
VQ,,,
VP,,,
VOQ,,,
VNA,,,
VLY,,,
VLA,,,
VL,,,
VK,,,
VJT,,,
VIS,,,
VIQ (1),,,
VIQ,,,
VIN,,,
VIG,,,
VI,,10,10
VH (1),,,
VH,,,
VEZ,,,
VER,,,
VE,,,
VCQ,,,
VC,,,
VB (1),,,
VB,,,
VAS,,,
VAQ,,,
VAG,,,
VA (1),,,
VA,,,
V9,,,
V8,,,
V6,,,
V5,,,
V4,,,
UYQ,,,
UX (1),,,
UX,,,
UTQ,,,
UT,,,
USA,,,
US,,,
URQ,,,
UR,,,
UP,,,
UO,,,
UNQ,,,
UN,,,
UMQ,,,
UH,,,
UD,,,
UC,,,
UAI,,,
UA,"162,443,000","1,391	",371
U7,,,
U5,,,
U2,,,
TZQ,,,
TZ,,,
TYE,,,
TXY,,,
TXQ,,,
TXE,,,
TXA,,,
TX (1),,,
TX,,,
TWE,,,
TWA,,,
TW,,,
TVL,,,
TV (1),,,
TV,,,
TUR,,,
TUL,,,
TTM,,,
TSQ,,,
TSI,,,
TSF,,,
TS,,,
TRR,,,
TRQ,,,
TRP,,,
TRO,,,
TRI,,,
TRA,,,
TR (1),,,
TR,,,
TQQ,,,
TPQ,,,
TP,,,
TNS,,,
TNQ,,,
TN,,,
TMA,,,
TLQ,,,
TKQ,,,
TK,,,
TJ,,,
TIS,,,
TIQ,,,
TIE,,,
TIA,,,
THQ,,,
THO,,,
THA,,,
TH,,,
TGQ,,,
TGO,,,
TG,,,
TFZ,,,
TFQ,,,
TER,,,
TEQ,,,
TEN,,,
TDQ (1),,,
TDQ,,,
TCQ,,,
TCO,,,
TCL,,,
TCI,,,
TCE,,,
TCA,,,
TBQ,,,
TB (1),,,
TB,,,
TAT,,,
TAS,,,
TAQ,,,
TAL,,,
TAF,,,
TAC,,,
TA,,,
T9,,,
T3,,,
SZQ,,,
SYM,,,
SYB,,,
SY,"3,127,000",43,60
SXP,,,
SX (1),,,
SX,,,
SWT,,,
SWA,,,
SVW,,,
SVL,,,
SV,,,
SUX,,,
SUT,,,
SUI,,,
SUA,,,
SU,,,
STZ,,,
STW,,,
STR,,,
STQ,,,
STG,,,
STF,,,
STA,,,
ST,,,
SST,,,
SSS,,,
SSQ,,,
SSP,,,
SSA,,,
SS,,,
SRL,,,
SRA,,,
SR,,,
SQ,,,
SPR,,,
SPQ,,,
SPH,,,
SPG,,,
SPF,,,
SOP,,,
SOL,,,
SOE,,,
SOA,,,
SO,,,
SNV,,,
SNK,,,
SNE,,,
SNC,,,
SNB,,,
SNA,,,
SN (1),,,
SN,,,
SMQ,,,
SMO,,,
SMC,,,
SM,,,
SLZ,,,
SLR,,,
SLQ,,,
SLO,,,
SKT,,,
SKS,,,
SKM,,,
SKL,,,
SKJ,,,
SKI,,,
SK,,,
SJQ,,,
SJA,,,
SIQ (1),,,
SIQ,,,
SIA,,,
SI (1),,,
SI,,,
SHV,,,
SHS,,,
SH,,,
SG,,,
SFS,,,
SFQ (1),,,
SFQ,,,
SFO,,,
SFI,,,
SER,,,
SEQ,,,
SEP,,,
SEM,,,
SEG,,,
SEB,,,
SE (1),,,
SE,,,
SDQ,,,
SCY,,,
SCT,,,
SCO,,,
SCN,,,
SBQ,,,
SBN,,,
SBA,,,
SAX,,,
SAS,,,
SAQ,,,
SAM,,,
SAL,,,
SAJ,,,
SAI,,,
SAH,,,
SAC,,,
SA,,,
S6 (1),,,
S6,,,
S5,,,
S4,,,
S3,,,
RZZ,,,
RY,,,
RWG,,,
RVQ,,,
RVA,,,
RV (1),,,
RV,,,
RU,,,
RTQ,,,
RSV,,,
RSQ,,,
RSC,,,
RRT,,,
RP,,,
ROY,,,
ROS,,,
ROQ,,,
ROE,,,
ROA,,,
RO,,,
RNQ,,,
RMV,,,
RMH,,,
RLQ,,,
RL (1),,,
RL,,,
RK,,,
RJS,,,
RJ,,,
RIV,,,
RIQ,,,
RIO,,,
RID,,,
RIC,,,
RIA,,,
RHA,,,
RGQ,,,
RG,,,
RES,,,
REQ,,,
RED,,,
REA,,,
RDW,,,
RDR,,,
RD (1),,,
RD,,,
RCA,,,
RC (1),,,
RC,,,
RB,,,
RAY,,,
RAQ,,,
RAN,,,
RAL,,,
R3,,,
R2,,,
R0,,,
QY,,,
QX,,62,45
QWE,,,
QTQ,,,
QT,,,
QS (1),,,
QS,,,
QR,,,
QQ,,,
QOZ,,,
QO,,,
QN,,,
QK,,,
QH,,,
QG,,,
QF,,,
QD,,,
QB,,,
Q7 (1),,,
Q7,,,
Q6,,,
Q5,,,
Q4,,,
Q2,,,
PZ,,,
PY,,,
PW,,,
PVA,,,
PV,,,
PUQ,,,
PU,,,
PTQ,,,
PT (1),,,
PT,,57,55
PSA,,,
PS (1),,,
PS,,,
PRR,,,
PRQ,,,
PRP,,,
PRO,,,
